2M29460HP1,4.5.11.14,HPE_3PAR A650,4.0,29278208.0,21041152.0,4.5.11.14,4.5.11.14,4.5.0.35,4.5.11.14,1,FXN,N9Z57-63003,PWRCKB1LMCS03X,False,True,210624,51200,100
2MK6100327,3.3.2.135,HPE_3PAR 8200,2.0,101396480.0,30637056.0,3.3.2.135,3.3.2.140 (P01),3.3.2.135,3.3.2.135,1,FXN,K2Q35-63001,PDSETB1LM9K0I8,False,True,16384,16384,100
2MK7400351,3.3.2.159 (MU1),HPE_3PAR 8400,4.0,84164608.0,62334976.0,3.3.2.159 (MU1),3.3.2.168 (P10),3.3.2.159 (MU1),3.3.2.168 (P10),2,FXN,H6Y95-63001,PFLKQA4LM7509D,False,True,16384,16384,100
2MK7510403,3.3.1.648 (MU5),HPE_3PAR 8200,2.0,109707264.0,33342464.0,3.3.1.648 (MU5),3.3.1.725 (P173),3.3.1.648 (MU5),3.3.1.648 (MU5),1,FXN,K2Q35-63001,PFLKQB1LM970MG,False,True,16384,16384,100
2MK8440095,3.3.1.410 (MU2),HPE_3PAR 8200,2.0,109824000.0,24329216.0,3.3.1.410 (MU2),3.3.1.653 (P127),3.3.1.410 (MU2),3.3.1.552 (P90),0,FXN,K2Q35-63001,PFLKQA8LM8801P,False,True,16384,16384,100
2MT909A6B4,3.3.1.648 (MU5),HPE_3PAR 8200,2.0,8945664.0,2477056.0,3.3.1.648 (MU5),3.3.1.725 (P173),3.3.1.648 (MU5),3.3.1.648 (MU5),1,FXN,K2Q35-63001,PFLKQB3LMBK0TA,False,True,16384,16384,100
2MT918A7LS,3.3.1.648 (MU5),HPE_3PAR 8200,2.0,8945664.0,2477056.0,3.3.1.648 (MU5),3.3.1.725 (P173),3.3.1.648 (MU5),3.3.1.648 (MU5),1,FXN,K2Q35-63001,PFLKQB3LMBH109,False,True,16384,16384,100
2MT918A7M4,3.3.1.648 (MU5),HPE_3PAR 8200,2.0,8945664.0,2477056.0,3.3.1.648 (MU5),3.3.1.725 (P173),3.3.1.648 (MU5),3.3.1.648 (MU5),1,FXN,K2Q35-63001,PFLKQB3LMBK0HG,False,True,16384,16384,100
2MT920A7WY,3.3.1.648 (MU5),HPE_3PAR 8200,2.0,8945664.0,2475008.0,3.3.1.648 (MU5),3.3.1.725 (P173),3.3.1.648 (MU5),3.3.1.648 (MU5),1,FXN,K2Q35-63001,PFLKQB3LMBH10S,False,True,16384,16384,100
2MT922A841,3.3.1.648 (MU5),HPE_3PAR 8200,2.0,8945664.0,2477056.0,3.3.1.648 (MU5),3.3.1.725 (P173),3.3.1.648 (MU5),3.3.1.648 (MU5),1,FXN,K2Q35-63001,PFLKQB4LMBM0VE,False,True,16384,16384,100
2MT923A87H,3.3.1.648 (MU5),HPE_3PAR 8200,2.0,8945664.0,2477056.0,3.3.1.648 (MU5),3.3.1.725 (P173),3.3.1.648 (MU5),3.3.1.648 (MU5),1,FXN,K2Q35-63001,PFLKQB4LMC612K,False,True,16384,16384,100
4C10372857,3.3.1.648 (MU5),HPE_3PAR 8200,2.0,87244800.0,5295104.0,3.3.1.648 (MU5),3.3.1.709 (P155),3.3.1.648 (MU5),3.3.1.648 (MU5),1,FXN,K2Q35-63001,PFLKQB5LMDV0QR,False,True,16384,16384,100
4C16359420,3.3.1.648 (MU5),HPE_3PAR 8400,4.0,15196160.0,946176.0,3.3.1.648 (MU5),3.3.1.725 (P173),3.3.1.648 (MU5),3.3.1.648 (MU5),1,FXN,H6Y95-63001,PFLKQB3LMB1052,False,True,16384,16384,100
4C17111115,3.3.1.648 (MU5),HPE_3PAR 8400,4.0,54853632.0,20686848.0,3.3.1.648 (MU5),3.3.1.709 (P155),3.3.1.648 (MU5),3.3.1.648 (MU5),0,FXN,H6Y95-63001,PFLKQA3LM5704B,True,True,16384,16384,100
4C17162049,3.3.1.648 (MU5),HPE_3PAR 8200,2.0,48025600.0,29215744.0,3.3.1.648 (MU5),3.3.1.695 (P150),3.3.1.648 (MU5),3.3.1.648 (MU5),0,FXN,K2Q35-63001,PFLKQA3LM540IB,True,True,16384,16384,100
4C18293295,3.3.1.648 (MU5),HPE_3PAR 8200,2.0,166404096.0,35648512.0,3.3.1.648 (MU5),3.3.1.725 (P173),3.3.1.648 (MU5),3.3.1.648 (MU5),0,FXN,K2Q35-63001,PFLKQA2LM370XR,False,True,16384,16384,100
4C18430405,3.3.1.460 (MU3),HPE_3PAR 8400,2.0,163418112.0,49073152.0,3.3.1.460 (MU3),3.3.1.654 (P128),3.3.1.460 (MU3),3.3.1.522 (P58),0,FXN,H6Y95-63001,PFLKQB3LMBA12A,False,True,16384,16384,100
4C18511747,3.3.1.648 (MU5),HPE_3PAR 8200,2.0,184576000.0,10848256.0,3.3.1.648 (MU5),3.3.1.695 (P150),3.3.1.648 (MU5),3.3.1.648 (MU5),0,FXN,K2Q35-63001,PFLKQA2LM4409W,True,True,16384,16384,100
4C19042747,3.3.1.410 (MU2),HPE_3PAR 8200,2.0,27443200.0,3992576.0,3.3.1.410 (MU2),3.3.1.530 (P76),3.3.1.410 (MU2),3.3.1.482 (P45),0,FXN,K2Q35-63001,PFLKQB4LMBN046,True,True,16384,16384,100
4C19063159,3.3.1.648 (MU5),HPE_3PAR 8200,2.0,10469376.0,1283072.0,3.3.1.648 (MU5),3.3.1.725 (P173),3.3.1.648 (MU5),3.3.1.648 (MU5),0,FXN,K2Q35-63001,PFLKQD1LMHT051,True,True,16384,16384,100
4C19235670,3.3.2.159 (MU1),HPE_3PAR 8200,2.0,83247104.0,55926784.0,3.3.2.159 (MU1),3.3.2.168 (P10),3.3.2.159 (MU1),3.3.2.168 (P10),1,FXN,K2Q35-63001,PFLKQB4LMC202I,False,True,16384,16384,100
4C19245867,3.3.2.159 (MU1),HPE_3PAR 8200,2.0,10469376.0,2094080.0,3.3.2.159 (MU1),3.3.2.168 (P10),3.3.2.159 (MU1),3.3.2.168 (P10),0,FXN,K2Q35-63001,PFLKQB5LMDV0OB,False,True,16384,16384,100
5UN8316FFS,3.3.1.648 (MU5),HPE_3PAR 20800_R2,6.0,2338947072.0,1191980032.0,3.3.1.648 (MU5),3.3.1.725 (P173),3.3.1.648 (MU5),3.3.1.648 (MU5),1,FXN,C8S87-63003,EWGPUA3KNAC001,True,True,196608,131072,100
5UN90775FF,3.3.2.159 (MU1),HPE_3PAR 9450,4.0,468582400.0,85354496.0,3.3.2.159 (MU1),3.3.2.168 (P10),3.3.2.159 (MU1),3.3.2.168 (P10),0,FXN,Q0E92-63003,EWDMHA4KNBR006,False,True,98304,131072,100
7CE632P1E2,3.3.1.410 (MU2),HPE_3PAR 8400,2.0,14639104.0,1979392.0,3.3.1.410 (MU2),3.3.1.653 (P127),3.3.1.410 (MU2),3.3.1.552 (P90),0,FXN,H6Y95-63001,PFLKQA2LM3605L,False,True,16384,16384,100
7CE803P194,3.2.2.709 (MU6),HP_3PAR 8200,2.0,43917312.0,9841664.0,3.2.2.709 (MU6),3.2.2.725 (P99),3.2.2.709 (MU6),3.2.2.709 (MU6),0,FXN,K2Q35-63001,PDSETB3LM9N0AB,True,True,16384,16384,100
7CE908P1G9,3.3.1.410 (MU2),HPE_3PAR 8200,2.0,13713408.0,11338752.0,3.3.1.410 (MU2),3.3.1.467 (P40),3.3.1.410 (MU2),3.3.1.410 (MU2),1,FXN,K2Q35-63001,PFLKQB4LMBP04O,False,True,16384,16384,100
7CE924P00M,3.3.1.648 (MU5),HPE_3PAR 8200,2.0,12214272.0,2141184.0,3.3.1.648 (MU5),3.3.1.725 (P173),3.3.1.648 (MU5),3.3.1.648 (MU5),1,FXN,K2Q35-63001,PFLKQB4LMCC057,False,True,16384,16384,100
7CE942P1UN,3.3.1.410 (MU2),HPE_3PAR 8200,2.0,148189184.0,71533568.0,3.3.1.410 (MU2),3.3.1.625 (P113),3.3.1.410 (MU2),3.3.1.552 (P90),0,FXN,K2Q35-63001,PFLKQB1LMA2076,False,True,16384,16384,100
BRL1430WSV,4.5.15.9,HPE_3PAR C630,2.0,296472576.0,87159808.0,4.5.15.9,4.5.15.9,4.5.0.35,4.5.15.9,0,FXN,N9Z55-63004,PWDRQB5LMFJ04B,True,True,105152,25600,100
CZ20040BPY,3.3.1.648 (MU5),HPE_3PAR 9450,4.0,527302656.0,182603776.0,3.3.1.648 (MU5),3.3.1.709 (P155),3.3.1.648 (MU5),3.3.1.648 (MU5),1,FXN,Q0E92-63003,EWDMHA2PUCXBWT,True,True,98304,131072,100
CZ20090JFC,3.3.1.648 (MU5),HPE_3PAR 8200,2.0,120594432.0,50566144.0,3.3.1.648 (MU5),3.3.1.725 (P173),3.3.1.648 (MU5),3.3.1.648 (MU5),1,FXN,K2Q35-63001,PFLKQB5LMCV0ME,False,True,16384,16384,100
CZ2010015Y,3.3.1.648 (MU5),HPE_3PAR 8200,2.0,127612928.0,50035712.0,3.3.1.648 (MU5),3.3.1.725 (P173),3.3.1.648 (MU5),3.3.1.648 (MU5),1,FXN,K2Q35-63001,PFLKQC1LMEX02P,False,True,16384,16384,100
CZ20110H3W,4.5.7.8,HPE_3PAR A630,2.0,29286400.0,12223488.0,4.5.7.8,4.5.7.8,4.5.0.35,4.5.7.8,1,FXN,N9Z55-63004,PWDRQB5LMDN08L,False,True,105152,25600,100
CZ201208R6,3.3.2.159 (MU1),HPE_3PAR 8200,2.0,42082304.0,5900288.0,3.3.2.159 (MU1),3.3.2.168 (P10),3.3.2.159 (MU1),3.3.2.168 (P10),0,FXN,K2Q35-63001,PFLKQB4LMCI0TG,False,True,16384,16384,100
CZ20360K78,3.3.2.159 (MU1),HPE_3PAR 8200,2.0,41164800.0,14768128.0,3.3.2.159 (MU1),3.3.2.168 (P10),3.3.2.159 (MU1),3.3.2.168 (P10),0,FXN,K2Q35-63001,PFLKQB5LMDZ06E,False,True,16384,16384,100
CZ210605C4,3.3.1.648 (MU5),HPE_3PAR 8400,4.0,49401856.0,33138688.0,3.3.1.648 (MU5),3.3.1.687 (P140),3.3.1.648 (MU5),3.3.1.648 (MU5),0,FXN,H6Y95-63001,PFLKQB5LME808Z,False,True,16384,16384,100
CZ210609XC,4.5.7.8,HPE_3PAR C630,2.0,294629376.0,96259072.0,4.5.7.8,4.5.7.8,4.5.0.35,4.5.7.8,1,FXN,N9Z55-63004,PWDRQB5LMEP06N,False,True,105152,25600,100
