,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
70,,800-200012.02,,CNX24904XK,CHN,,0,,,0,0603,0,n/a,IOM 0,n/a,N9Z50A,DCS12
71,,800-200012.02,,CNX24904XK,CHN,,0,,,0,0603,0,n/a,IOM 0,n/a,N9Z50A,DCS12
72,,800-200012.02,,CNX24904XK,CHN,,0,,,0,0603,0,n/a,IOM 0,n/a,N9Z50A,DCS12
73,,800-200012.02,,CNX24904XK,CHN,,1,,,0,0603,0,n/a,IOM 0,n/a,N9Z47A,DCN5
74,,800-200012.02,,CNX24904XK,CHN,,1,,,0,0603,0,n/a,IOM 0,n/a,N9Z47A,DCN5
75,,800-200012.02,,CNX24904XK,CHN,,1,,,0,0603,0,n/a,IOM 0,n/a,N9Z50A,DCS12
76,,800-200012.02,,CNX24904XK,CHN,,1,,,0,0603,0,n/a,IOM 0,n/a,N9Z50A,DCS12
77,,800-200012.02,,CNX24904XK,CHN,,1,,,0,0603,0,n/a,IOM 0,n/a,N9Z50A,DCS12
78,,800-200012.02,,CNX24904XK,CHN,,2,,,0,0603,0,n/a,IOM 0,n/a,N9Z47A,DCN5
79,,800-200012.02,,CNX24904XK,CHN,,2,,,0,0603,0,n/a,IOM 0,n/a,N9Z47A,DCN5
80,,800-200012.02,,CNX24904XK,CHN,,2,,,0,0603,0,n/a,IOM 0,n/a,N9Z50A,DCS12
81,,800-200012.02,,CNX24904XK,CHN,,2,,,0,0603,0,n/a,IOM 0,n/a,N9Z50A,DCS12
82,,800-200012.02,,CNX24904XK,CHN,,2,,,0,0603,0,n/a,IOM 0,n/a,N9Z50A,DCS12
83,,800-200012.02,,CNX24904XK,CHN,,3,,,0,0603,0,n/a,IOM 0,n/a,N9Z47A,DCN5
84,,800-200012.02,,CNX24904XK,CHN,,3,,,0,0603,0,n/a,IOM 0,n/a,N9Z47A,DCN5
