107,800-200012.02,CNX243007P,CHN,3,0,0603,1,n/a,IOM 1,n/a,N9Z47A,DCN5
108,800-200012.02,CNX243007P,CHN,0,0,0603,0,n/a,IOM 0,n/a,N9Z47A,DCN5
109,800-200012.02,CNX243007P,CHN,0,0,0603,0,n/a,IOM 0,n/a,N9Z47A,DCN5
110,800-200012.02,CNX243007P,CHN,1,0,0603,0,n/a,IOM 0,n/a,N9Z47A,DCN5
111,800-200012.02,CNX243007P,CHN,1,0,0603,0,n/a,IOM 0,n/a,N9Z47A,DCN5
112,800-200012.02,CNX243007P,CHN,2,0,0603,0,n/a,IOM 0,n/a,N9Z47A,DCN5
113,800-200012.02,CNX243007P,CHN,2,0,0603,0,n/a,IOM 0,n/a,N9Z47A,DCN5
114,800-200012.02,CNX243007P,CHN,3,0,0603,0,n/a,IOM 0,n/a,N9Z47A,DCN5
115,800-200012.02,CNX243007P,CHN,3,0,0603,0,n/a,IOM 0,n/a,N9Z47A,DCN5
116,800-200012.02,CNX243007P,CHN,0,1,0603,1,n/a,IOM 1,n/a,N9Z47A,DCN5
117,800-200012.02,CNX243007P,CHN,0,1,0603,1,n/a,IOM 1,n/a,N9Z47A,DCN5
118,800-200012.02,CNX243007P,CHN,1,1,0603,1,n/a,IOM 1,n/a,N9Z47A,DCN5
119,800-200012.02,CNX243007P,CHN,1,1,0603,1,n/a,IOM 1,n/a,N9Z47A,DCN5
120,800-200012.02,CNX243007P,CHN,2,1,0603,1,n/a,IOM 1,n/a,N9Z47A,DCN5
121,800-200012.02,CNX243007P,CHN,2,1,0603,1,n/a,IOM 1,n/a,N9Z47A,DCN5
122,800-200012.02,CNX243007P,CHN,3,1,0603,1,n/a,IOM 1,n/a,N9Z47A,DCN5
123,800-200012.02,CNX243007P,CHN,3,1,0603,1,n/a,IOM 1,n/a,N9Z47A,DCN5
124,800-200012.02,CNX243007P,CHN,0,1,0603,0,n/a,IOM 0,n/a,N9Z47A,DCN5
125,800-200012.02,CNX243007P,CHN,0,1,0603,0,n/a,IOM 0,n/a,N9Z47A,DCN5
126,800-200012.02,CNX243007P,CHN,1,1,0603,0,n/a,IOM 0,n/a,N9Z47A,DCN5
127,800-200012.02,CNX243007P,CHN,1,1,0603,0,n/a,IOM 0,n/a,N9Z47A,DCN5
128,800-200012.02,CNX243007P,CHN,2,1,0603,0,n/a,IOM 0,n/a,N9Z47A,DCN5
129,800-200012.02,CNX243007P,CHN,2,1,0603,0,n/a,IOM 0,n/a,N9Z47A,DCN5
130,800-200012.02,CNX243007P,CHN,3,1,0603,0,n/a,IOM 0,n/a,N9Z47A,DCN5
131,800-200012.02,CNX243007P,CHN,3,1,0603,0,n/a,IOM 0,n/a,N9Z47A,DCN5
132,800-200012.02,CNX24303LF,CHN,0,0,0603,0,n/a,IOM 0,n/a,N9Z47A,DCN5
133,800-200012.02,CNX24303LF,CHN,1,0,0603,0,n/a,IOM 0,n/a,N9Z47A,DCN5
134,800-200012.02,CNX24303LF,CHN,0,0,0603,1,n/a,IOM 1,n/a,N9Z47A,DCN5
